avg_beta_t,avg_cos_anchor_region,avg_cos_base_anchor,avg_cos_base_region,avg_cos_rec_base,avg_cos_rec_edit_total,avg_edit_norm,avg_mask_area,avg_rec_energy,avg_rec_norm,clip_direction_similarity,clip_image_source_similarity,clip_source_score,clip_target_minus_source,clip_target_score,complete,dino_source_similarity,edit_score,eval_mask_area,failure_flag,failure_note,final_mask_area,fixed_eval_mask_area,inside_blue_ratio,inside_mask_l1,inside_mask_psnr,inside_mask_rmse,local_clip_source_score,local_clip_target_minus_source,local_clip_target_score,local_crop_box,mask_path,mask_source,max_beta_t,max_edit_norm,max_rec_energy,max_rec_norm,method,method_display,missing,outside_mask_l1,outside_mask_psnr,outside_mask_rmse,peak_gpu_memory_gb,result_image,run,runtime_seconds,seed,source_image,source_l1,source_prompt,source_psnr,source_rmse,source_ssim,source_ssim_luma,target_prompt,task
1.0,0.9398029421766599,1.0,0.939802959561348,-0.33914554057021934,-0.0025376571987483962,25.434316376845043,0.0517578125,0.022889739853174735,15.285805384318033,-0.01850716397166252,0.9166233539581299,0.38146913051605225,-0.007809817790985107,0.37365931272506714,True,0.9465789794921875,-0.007809817790985107,0.08325703938802083,,,0.0517578125,0.08325703938802083,0.0,0.09202554076910019,16.64407169665993,0.14716224861799132,0.33615192770957947,-0.00025349855422973633,0.33589842915534973,"93,224,384,512",experiments/support_v3_2026-05-11/eval_masks/backpack_remove_toy_charm_eval_mask.png,fixed_eval_mask,1.0,78.59740447998047,0.06188984215259552,27.56065559387207,adaptive_full_generic_support,Generic support control,,0.035325516015291214,23.167919252861893,0.06943909265175,13.919281959533691,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_generic_support/seed_10/result.png,backpack_remove_toy_charm/adaptive_full_generic_support/seed_10,53.83732996205799,10,/workspace/rf_h_edit/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.04004618525505066,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,22.059713009867814,0.07888861827447605,0.795639095783044,0.795639095783044,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.9399958526094755,0.9999999875823656,0.9399958451588949,-0.3391312963018815,-0.0024262151467458657,25.417068759600323,0.0517578125,0.022874229927159224,15.277652581532797,-0.018102331086993217,0.9166110754013062,0.38220319151878357,-0.007773399353027344,0.3744297921657562,True,0.9475224614143372,-0.007773399353027344,0.08325703938802083,,,0.0517578125,0.08325703938802083,0.0,0.09200245887041092,16.647381283036637,0.14710618603653877,0.3354969620704651,-0.00012734532356262207,0.33536961674690247,"93,224,384,512",experiments/support_v3_2026-05-11/eval_masks/backpack_remove_toy_charm_eval_mask.png,fixed_eval_mask,1.0,78.59740447998047,0.06188984215259552,27.56065559387207,adaptive_full_generic_support,Generic support control,,0.03532378375530243,23.172810314985348,0.06940000220457308,13.919281959533691,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_generic_support/seed_11/result.png,backpack_remove_toy_charm/adaptive_full_generic_support/seed_11,87.67053360515274,11,/workspace/rf_h_edit/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.0400426872074604,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,22.064145408196868,0.07884837178360839,0.795654064066957,0.795654064066957,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.9395634283622106,1.0000000273187954,0.9395634780327479,-0.33927626100679237,-0.0023658986560803896,25.390783687432606,0.0517578125,0.022892275820292223,15.286422928174337,-0.017066847532987595,0.9144583940505981,0.3835156261920929,-0.0076944828033447266,0.37582114338874817,True,0.9473052024841309,-0.0076944828033447266,0.08325703938802083,,,0.0517578125,0.08325703938802083,0.0,0.0920274555683136,16.649021877385973,0.14707840318449858,0.3356282114982605,-0.00045615434646606445,0.33517205715179443,"93,224,384,512",experiments/support_v3_2026-05-11/eval_masks/backpack_remove_toy_charm_eval_mask.png,fixed_eval_mask,1.0,78.59740447998047,0.06188984215259552,27.56065559387207,adaptive_full_generic_support,Generic support control,,0.03532436490058899,23.174822053699813,0.06938393033281226,13.919281959533691,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_generic_support/seed_12/result.png,backpack_remove_toy_charm/adaptive_full_generic_support/seed_12,87.34428675589152,12,/workspace/rf_h_edit/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.040045302361249924,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,22.06604908959077,0.07883109252531068,0.7955723104548368,0.7955723104548368,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0309244804084301,0.0,0.0,0.02140444703400135,0.608932375907898,0.3206431269645691,0.005583643913269043,0.32622677087783813,True,0.8077397346496582,0.005583643913269043,0.08325703938802083,,,0.0309244804084301,0.08325703938802083,0.0,0.0891968235373497,18.28096381442571,0.12188543433981018,0.3228950798511505,0.0036853551864624023,0.3265804350376129,"93,224,384,512",experiments/support_v3_2026-05-11/eval_masks/backpack_remove_toy_charm_eval_mask.png,fixed_eval_mask,1.0,0.0,0.0,0.0,base_only,RF reconstruction / base reconstruction,,0.06572471559047699,19.720877076765973,0.10326571256772676,12.22925329208374,outputs/pretty_matrix/backpack_remove_toy_charm/base_only/seed_10/result.png,backpack_remove_toy_charm/base_only/seed_10,66.80887894006446,10,/workspace/rf_h_edit/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.06767892837524414,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,19.58100667034671,0.10494207966650737,0.6146133566215531,0.6146133566215531,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0309244804084301,0.0,0.0,0.02140444703400135,0.608932375907898,0.3206431269645691,0.005583643913269043,0.32622677087783813,True,0.8077397346496582,0.005583643913269043,0.08325703938802083,,,0.0309244804084301,0.08325703938802083,0.0,0.0891968235373497,18.28096381442571,0.12188543433981018,0.3228950798511505,0.0036853551864624023,0.3265804350376129,"93,224,384,512",experiments/support_v3_2026-05-11/eval_masks/backpack_remove_toy_charm_eval_mask.png,fixed_eval_mask,1.0,0.0,0.0,0.0,base_only,RF reconstruction / base reconstruction,,0.06572471559047699,19.720877076765973,0.10326571256772676,12.22925329208374,outputs/pretty_matrix/backpack_remove_toy_charm/base_only/seed_11/result.png,backpack_remove_toy_charm/base_only/seed_11,25.270279502030462,11,/workspace/rf_h_edit/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.06767892837524414,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,19.58100667034671,0.10494207966650737,0.6146133566215531,0.6146133566215531,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0309244804084301,0.0,0.0,0.02140444703400135,0.608932375907898,0.3206431269645691,0.005583643913269043,0.32622677087783813,True,0.8077397346496582,0.005583643913269043,0.08325703938802083,,,0.0309244804084301,0.08325703938802083,0.0,0.0891968235373497,18.28096381442571,0.12188543433981018,0.3228950798511505,0.0036853551864624023,0.3265804350376129,"93,224,384,512",experiments/support_v3_2026-05-11/eval_masks/backpack_remove_toy_charm_eval_mask.png,fixed_eval_mask,1.0,0.0,0.0,0.0,base_only,RF reconstruction / base reconstruction,,0.06572471559047699,19.720877076765973,0.10326571256772676,12.22925329208374,outputs/pretty_matrix/backpack_remove_toy_charm/base_only/seed_12/result.png,backpack_remove_toy_charm/base_only/seed_12,25.99419586895965,12,/workspace/rf_h_edit/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.06767892837524414,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,19.58100667034671,0.10494207966650737,0.6146133566215531,0.6146133566215531,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.9703656832377116,1.0,0.9703656782706579,0.0,0.0,16.16472073396047,0.0309244804084301,0.0,0.0,-0.01905868947505951,0.5200942754745483,0.2679077386856079,-0.007838904857635498,0.2600688338279724,True,0.7595120072364807,-0.007838904857635498,0.08325703938802083,,,0.0309244804084301,0.08325703938802083,0.0,0.21250027418136597,12.217271392651766,0.24498327176244475,0.22310607135295868,0.028460845351219177,0.25156691670417786,"93,224,384,512",experiments/support_v3_2026-05-11/eval_masks/backpack_remove_toy_charm_eval_mask.png,fixed_eval_mask,1.0,52.38732147216797,0.0,0.0,direct_target,Direct target guidance,,0.07553848624229431,18.31722436201967,0.12137766594861234,12.22925329208374,outputs/pretty_matrix/backpack_remove_toy_charm/direct_target/seed_10/result.png,backpack_remove_toy_charm/direct_target/seed_10,25.974648074945435,10,/workspace/rf_h_edit/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.08694150298833847,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,17.327632498628383,0.13602488739842972,0.5618740349401752,0.5618740349401752,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.9703656832377116,1.0,0.9703656782706579,0.0,0.0,16.16472073396047,0.0309244804084301,0.0,0.0,-0.01905868947505951,0.5200942754745483,0.2679077386856079,-0.007838904857635498,0.2600688338279724,True,0.7595120072364807,-0.007838904857635498,0.08325703938802083,,,0.0309244804084301,0.08325703938802083,0.0,0.21250027418136597,12.217271392651766,0.24498327176244475,0.22310607135295868,0.028460845351219177,0.25156691670417786,"93,224,384,512",experiments/support_v3_2026-05-11/eval_masks/backpack_remove_toy_charm_eval_mask.png,fixed_eval_mask,1.0,52.38732147216797,0.0,0.0,direct_target,Direct target guidance,,0.07553848624229431,18.31722436201967,0.12137766594861234,12.22925329208374,outputs/pretty_matrix/backpack_remove_toy_charm/direct_target/seed_11/result.png,backpack_remove_toy_charm/direct_target/seed_11,26.448215583106503,11,/workspace/rf_h_edit/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.08694150298833847,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,17.327632498628383,0.13602488739842972,0.5618740349401752,0.5618740349401752,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.9703656832377116,1.0,0.9703656782706579,0.0,0.0,16.16472073396047,0.0309244804084301,0.0,0.0,-0.01905868947505951,0.5200942754745483,0.2679077386856079,-0.007838904857635498,0.2600688338279724,True,0.7595120072364807,-0.007838904857635498,0.08325703938802083,,,0.0309244804084301,0.08325703938802083,0.0,0.21250027418136597,12.217271392651766,0.24498327176244475,0.22310607135295868,0.028460845351219177,0.25156691670417786,"93,224,384,512",experiments/support_v3_2026-05-11/eval_masks/backpack_remove_toy_charm_eval_mask.png,fixed_eval_mask,1.0,52.38732147216797,0.0,0.0,direct_target,Direct target guidance,,0.07553848624229431,18.31722436201967,0.12137766594861234,12.22925329208374,outputs/pretty_matrix/backpack_remove_toy_charm/direct_target/seed_12/result.png,backpack_remove_toy_charm/direct_target/seed_12,26.402449512155727,12,/workspace/rf_h_edit/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.08694150298833847,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,17.327632498628383,0.13602488739842972,0.5618740349401752,0.5618740349401752,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.937470885614554,1.0000000298023224,0.9374709079662958,-0.33679670964678127,-0.00010444779703296565,40.222417871157326,0.1253255307674408,0.018023577378092643,17.35253651936849,-0.056548334658145905,0.8304142355918884,0.3630208671092987,-0.017140477895736694,0.345880389213562,True,0.8850868940353394,-0.017140477895736694,0.08325703938802083,,,0.1253255307674408,0.08325703938802083,0.0,0.2199752777814865,11.521042105831762,0.26542870898203236,0.2450970560312271,0.019644394516944885,0.264741450548172,"93,224,384,512",experiments/support_v3_2026-05-11/eval_masks/backpack_remove_toy_charm_eval_mask.png,fixed_eval_mask,1.0,131.68563842773438,0.0523453913629055,37.33991241455078,support_v3_controller_rmsgap,DeCE-RF,,0.03979521989822388,22.169151285224213,0.07790089292771978,13.920357704162598,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_10/result.png,backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_10,89.01576949120499,10,/workspace/rf_h_edit/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.05479647219181061,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,19.41993370668376,0.10690630386014427,0.736510163930891,0.736510163930891,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
